user: user_54        op: LEAVE     	OK 
user: user_63        op: STORE     	OK 
user: user_58        op: STORE     	OK 
user: user_68        op: STORE     	OK 
user: user_68        op: STORE     	OK 
user: user_45        op: LEAVE     	OK 
user: user_62        op: STORE     	OK 
user: user_62        op: STORE     	OK 
user: user_66        op: STORE     	OK 
user: user_59        op: STORE     	OK 
user: user_58        op: STORE     	OK 
user: user_66        op: LEAVE     	OK 
user: user_59        op: STORE     	OK 
user: user_58        op: LEAVE     	OK 
user: user_50        op: STORE     	OK 
user: user_17        op: STORE     	OK 
user: user_17        op: LEAVE     	OK 
user: user_22        op: STORE     	OK 
user: user_10        op: STORE     	OK 
user: user_52        op: STORE     	OK 
user: user_52        op: LEAVE     	OK 
user: user_11        op: STORE     	OK 
user: user_50        op: LEAVE     	OK 
user: user_62        op: STORE     	OK 
user: user_22        op: LEAVE     	OK 
user: user_11        op: LEAVE     	OK 
user: user_59        op: STORE     	OK 
user: user_62        op: LEAVE     	OK 
user: user_10        op: LEAVE     	OK 
user: user_59        op: LEAVE     	OK 
user: user_25        op: STORE     	OK 
user: user_7         op: STORE     	OK 
user: user_25        op: LEAVE     	OK 
user: user_36        op: STORE     	OK 
user: user_27        op: STORE     	OK 
user: user_33        op: STORE     	OK 
user: user_27        op: LEAVE     	OK 
user: user_68        op: STORE     	OK 
user: user_31        op: STORE     	OK 
user: user_33        op: LEAVE     	OK 
user: user_36        op: LEAVE     	OK 
user: user_32        op: STORE     	OK 
user: user_53        op: STORE     	OK 
user: user_7         op: LEAVE     	OK 
user: user_53        op: LEAVE     	OK 
user: user_68        op: LEAVE     	OK 
user: user_61        op: REGISTER  	KO 17 (File exists) 
user: user_61        op: STORE     	OK 
user: user_61        op: STORE     	OK 
user: user_30        op: STORE     	OK 
user: user_30        op: LEAVE     	OK 
user: user_43        op: STORE     	OK 
user: user_51        op: STORE     	OK 
user: user_51        op: LEAVE     	OK 
user: user_26        op: STORE     	OK 
user: user_26        op: LEAVE     	OK 
user: user_43        op: LEAVE     	OK 
user: user_42        op: STORE     	OK 
user: user_32        op: LEAVE     	OK 
user: user_31        op: LEAVE     	OK 
user: user_42        op: LEAVE     	OK 
user: user_38        op: STORE     	OK 
user: user_38        op: LEAVE     	OK 
